run_id,timestamp,frequency_Hz,position_cm,trial,record_seconds,sample_count,median_amp,mean_amp,std_amp,min_amp,max_amp,clipped_count,status_counts,raw_csv,notes
20260626_170518_f50Hz_x12p5cm,2026-06-26T17:08:04,50,12.5,1,10,32,258.055,258.006,0.546105,257.01,258.91,0,OK:32,data\pressure_sweep\raw\20260626_170518_f50Hz_x12p5cm.csv,
20260626_170932_f60Hz_x37p5cm,2026-06-26T17:09:54,60,37.5,1,10,32,288.01,287.999,0.143569,287.69,288.3,0,OK:32,data\pressure_sweep\raw\20260626_170932_f60Hz_x37p5cm.csv,
20260626_171201_f70Hz_x37p5cm,2026-06-26T17:12:21,70,37.5,1,10,32,305.115,305.118,0.0888023,304.86,305.34,0,OK:32,data\pressure_sweep\raw\20260626_171201_f70Hz_x37p5cm.csv,
20260626_171300_f80Hz_x37p5cm,2026-06-26T17:13:16,80,37.5,1,10,32,317.9,317.747,0.694616,316.06,318.7,0,OK:32,data\pressure_sweep\raw\20260626_171300_f80Hz_x37p5cm.csv,
20260626_171331_f90Hz_x37p5cm,2026-06-26T17:13:51,90,37.5,1,10,32,319.9,319.433,1.21636,316.34,320.58,0,OK:32,data\pressure_sweep\raw\20260626_171331_f90Hz_x37p5cm.csv,
20260626_171411_f100Hz_x37p5cm,2026-06-26T17:14:26,100,37.5,1,10,32,326.825,326.687,0.354597,325.64,327.07,0,OK:32,data\pressure_sweep\raw\20260626_171411_f100Hz_x37p5cm.csv,
20260626_171447_f110Hz_x37p5cm,2026-06-26T17:15:02,110,37.5,1,10,32,330.925,330.952,0.283605,330.3,331.55,0,OK:32,data\pressure_sweep\raw\20260626_171447_f110Hz_x37p5cm.csv,
20260626_171528_f120Hz_x37p5cm,2026-06-26T17:15:42,120,37.5,1,10,32,335.575,335.582,0.171982,335.25,335.92,0,OK:32,data\pressure_sweep\raw\20260626_171528_f120Hz_x37p5cm.csv,
20260626_171552_f130Hz_x37p5cm,2026-06-26T17:16:06,130,37.5,1,10,32,338.685,338.683,0.188518,338.39,339.21,0,OK:32,data\pressure_sweep\raw\20260626_171552_f130Hz_x37p5cm.csv,
20260626_171631_f140Hz_x37p5cm,2026-06-26T17:16:44,140,37.5,1,10,32,340.215,340.221,0.247845,339.61,340.6,1,LOUD_CLIP:1;OK:31,data\pressure_sweep\raw\20260626_171631_f140Hz_x37p5cm.csv,
20260626_171657_f150Hz_x37p5cm,2026-06-26T17:17:13,150,37.5,1,10,32,337.96,337.963,0.120733,337.68,338.28,0,OK:32,data\pressure_sweep\raw\20260626_171657_f150Hz_x37p5cm.csv,
20260626_171726_f160Hz_x37p5cm,2026-06-26T17:17:42,160,37.5,1,10,32,332.48,332.483,0.165745,332.12,332.86,0,OK:32,data\pressure_sweep\raw\20260626_171726_f160Hz_x37p5cm.csv,
