run_id,timestamp,frequency_Hz,position_cm,trial,record_seconds,sample_count,median_amp,mean_amp,std_amp,min_amp,max_amp,clipped_count,status_counts,raw_csv,notes,norm_median,norm_std,is_estimated,estimate_method
20260627_143142_f170Hz_x1cm,2026-06-27T14:44:16,170,1.0,2,10,32,4.07,4.075,0.0176777,4.04,4.12,0.0,OK:32,data\mode_shape\raw\20260627_143142_f170Hz_x1cm.csv,,0.0112429386334442,4.8832750928854576e-05,False,
20260627_144557_f170Hz_x2cm,2026-06-27T14:46:18,170,2.0,2,10,32,11.34,11.3875,0.234414,11.25,12.52,0.0,OK:32,data\mode_shape\raw\20260627_144557_f170Hz_x2cm.csv,,0.0313255341777047,0.0006475435422162,False,
20260627_144659_f170Hz_x3cm,2026-06-27T14:47:15,170,3.0,2,10,32,38.47,38.4641,0.174048,37.99,38.87,0.0,OK:32,data\mode_shape\raw\20260627_144659_f170Hz_x3cm.csv,,0.1062692504247179,0.0004807889393792,False,
20260627_144734_f170Hz_x4cm,2026-06-27T14:47:48,170,4.0,2,10,32,88.87,88.8184,0.472368,88.07,90.8,0.0,OK:32,data\mode_shape\raw\20260627_144734_f170Hz_x4cm.csv,,0.2454938467700722,0.0013048659548901,False,
20260627_144809_f170Hz_x5cm,2026-06-27T14:48:22,170,5.0,2,10,32,139.795,139.919,0.535508,139.53,142.76,0.0,OK:32,data\mode_shape\raw\20260627_144809_f170Hz_x5cm.csv,,0.3861686993273573,0.0014792834353116,False,
20260627_144837_f170Hz_x6cm,2026-06-27T14:48:49,170,6.0,2,10,32,195.98,195.977,0.11158,195.82,196.19,0.0,OK:32,data\mode_shape\raw\20260627_144837_f170Hz_x6cm.csv,,0.5413737379317966,0.000308227786909,False,
20260627_144905_f170Hz_x7cm,2026-06-27T14:49:18,170,7.0,2,10,32,242.26,242.235,0.159863,241.93,242.64,0.0,OK:32,data\mode_shape\raw\20260627_144905_f170Hz_x7cm.csv,,0.6692172760044751,0.0004416043977293,False,
20260627_150329_f170Hz_x8cm,2026-06-27T15:03:41,170,8.0,2,10,32,249.115,249.186,0.696369,248.13,250.26,0.0,OK:32,data\mode_shape\raw\20260627_150329_f170Hz_x8cm.csv,,0.688153478543114,0.00192364470104,False,
20260627_150353_f170Hz_x9cm,2026-06-27T15:04:07,170,9.0,2,10,32,274.595,274.528,0.280729,273.81,275.2,0.0,OK:32,data\mode_shape\raw\20260627_150353_f170Hz_x9cm.csv,,0.7585392466954877,0.0007754837640364,False,
20260627_150417_f170Hz_x10cm,2026-06-27T15:04:40,170,10.0,2,10,32,278.82,278.937,0.364702,278.14,279.56,0.0,OK:32,data\mode_shape\raw\20260627_150417_f170Hz_x10cm.csv,,0.7702103562105496,0.0010074501733401,False,
20260627_150450_f170Hz_x11cm,2026-06-27T15:05:05,170,11.0,2,10,32,270.445,270.535,0.867655,268.92,272.3,0.0,OK:32,data\mode_shape\raw\20260627_150450_f170Hz_x11cm.csv,,0.747075316639273,0.0023968039115481,False,
20260627_150543_f170Hz_x12cm,2026-06-27T15:05:57,170,12.0,2,10,32,302.425,302.723,1.91978,301.46,313.36,1.0,LOUD_CLIP:1;OK:31,data\mode_shape\raw\20260627_150543_f170Hz_x12cm.csv,,0.8354166378917419,0.005303186420077,False,
20260627_150707_f170Hz_x13cm,2026-06-27T15:07:19,170,13.0,2,10,32,308.41,308.384,0.103439,307.9,308.48,0.0,OK:32,data\mode_shape\raw\20260627_150707_f170Hz_x13cm.csv,,0.8519495587077527,0.0002857391472493,False,
20260627_150733_f170Hz_x14cm,2026-06-27T15:07:45,170,14.0,2,10,32,300.42,300.157,1.15798,297.43,302.09,0.0,OK:32,data\mode_shape\raw\20260627_150733_f170Hz_x14cm.csv,,0.8298780403585586,0.0031987955967459,False,
20260627_150825_f170Hz_x15cm,2026-06-27T15:08:40,170,15.0,2,10,32,300.22,299.978,0.64812,298.89,300.87,0.0,OK:32,data\mode_shape\raw\20260627_150825_f170Hz_x15cm.csv,,0.8293255618016326,0.0017903620115744,False,
20260627_151009_f170Hz_x16cm,2026-06-27T15:10:21,170,16.0,2,10,32,332.14,331.587,1.17761,328.59,332.28,0.0,OK:32,data\mode_shape\raw\20260627_151009_f170Hz_x16cm.csv,,0.9175011394870236,0.0032530213671081,False,
20260627_151035_f170Hz_x17cm,2026-06-27T15:10:47,170,17.0,2,10,32,305.895,305.789,0.307977,305.16,306.2,0.0,OK:32,data\mode_shape\raw\20260627_151035_f170Hz_x17cm.csv,,0.8450021408544081,0.000850753442632,False,
20260627_151122_f170Hz_x18cm,2026-06-27T15:11:34,170,18.0,2,10,32,308.23,308.185,1.44774,305.15,310.82,0.0,OK:32,data\mode_shape\raw\20260627_151122_f170Hz_x18cm.csv,,0.8514523280065193,0.0039992265300203,False,
20260627_151247_f170Hz_x19cm,2026-06-27T15:13:01,170,19.0,2,10,32,299.94,300.062,1.1913,297.61,302.86,0.0,OK:32,data\mode_shape\raw\20260627_151247_f170Hz_x19cm.csv,,0.8285520918219361,0.0032908385243297,False,
20260627_151327_f170Hz_x20cm,2026-06-27T15:13:39,170,20.0,2,10,32,306.095,305.173,2.49674,297.61,306.81,0.0,OK:32,data\mode_shape\raw\20260627_151327_f170Hz_x20cm.csv,,0.8455546194113341,0.0068969765610972,False,
20260627_151353_f170Hz_x21cm,2026-06-27T15:14:05,170,21.0,2,10,32,308.26,307.825,1.13916,304.48,308.58,0.0,OK:32,data\mode_shape\raw\20260627_151353_f170Hz_x21cm.csv,,0.8515351997900581,0.0031468073645391,False,
20260627_151414_f170Hz_x22cm,2026-06-27T15:14:26,170,22.0,2,10,32,300.72,300.604,1.81717,296.87,304.42,0.0,OK:32,data\mode_shape\raw\20260627_151414_f170Hz_x22cm.csv,,0.8307067581939477,0.0050197372964461,False,
20260627_151446_f170Hz_x23cm,2026-06-27T15:14:58,170,23.0,2,10,32,307.49,307.238,1.31838,302.72,308.55,0.0,OK:32,data\mode_shape\raw\20260627_151446_f170Hz_x23cm.csv,,0.849408157345893,0.0036418833994005,False,
20260627_151513_f170Hz_x24cm,2026-06-27T15:15:25,170,24.0,2,10,32,313.845,314.354,0.791841,313.42,315.74,0.0,OK:32,data\mode_shape\raw\20260627_151513_f170Hz_x24cm.csv,,0.866963163492217,0.0021873758649742,False,
20260627_151537_f170Hz_x25cm,2026-06-27T15:15:49,170,25.0,2,10,32,316.775,316.485,0.589465,315.31,317.18,0.0,OK:32,data\mode_shape\raw\20260627_151537_f170Hz_x25cm.csv,,0.8750569743511829,0.0016283338627919,False,
20260627_151602_f170Hz_x26cm,2026-06-27T15:16:15,170,26.0,2,10,32,317.03,317.083,0.219124,316.69,317.51,0.0,OK:32,data\mode_shape\raw\20260627_151602_f170Hz_x26cm.csv,,0.8757613845112636,0.0006053065565392,False,
20260627_151636_f170Hz_x27cm,2026-06-27T15:16:48,170,27.0,2,10,32,335.71,334.755,3.43372,324.07,337.39,0.0,OK:32,data\mode_shape\raw\20260627_151636_f170Hz_x27cm.csv,,0.9273628817281528,0.0094852833524398,False,
20260627_151704_f170Hz_x28cm,2026-06-27T15:17:16,170,28.0,2,10,32,334.01,333.989,0.213465,333.59,334.28,0.0,OK:32,data\mode_shape\raw\20260627_151704_f170Hz_x28cm.csv,,0.922666813994282,0.000589674175771,False,
20260627_151733_f170Hz_x29cm,2026-06-27T15:17:45,170,29.0,2,10,32,335.61,333.126,4.0518,326.15,336.73,0.0,OK:32,data\mode_shape\raw\20260627_151733_f170Hz_x29cm.csv,,0.92708664244969,0.011192663084764,False,
20260627_151803_f170Hz_x30cm,2026-06-27T15:18:15,170,30.0,2,10,32,333.915,333.84,0.318948,333.41,334.35,0.0,OK:32,data\mode_shape\raw\20260627_151803_f170Hz_x30cm.csv,,0.922404386679742,0.0008810596538721,False,
20260627_151825_f170Hz_x31cm,2026-06-27T15:18:37,170,31.0,2,10,32,317.225,317.301,1.16091,314.36,319.39,0.0,OK:32,data\mode_shape\raw\20260627_151825_f170Hz_x31cm.csv,,0.8763000511042666,0.0032068894076048,False,
20260627_152443_f170Hz_x32cm,2026-06-27T15:24:55,170,32.0,2,10,32,339.3,339.183,0.443062,337.24,339.58,0.0,OK:32,data\mode_shape\raw\20260627_152443_f170Hz_x32cm.csv,,0.9372798718249749,0.0012239112719437,False,
20260627_152505_f170Hz_x33cm,2026-06-27T15:25:17,170,33.0,2,10,32,344.005,343.981,0.156404,343.68,344.23,0.0,OK:32,data\mode_shape\raw\20260627_152505_f170Hz_x33cm.csv,,0.9502769298766592,0.0004320492810872,False,
20260627_152552_f170Hz_x34cm,2026-06-27T15:26:04,170,34.0,2,10,32,345.715,345.712,0.0535279,345.6,345.84,0.0,OK:32,data\mode_shape\raw\20260627_152552_f170Hz_x34cm.csv,,0.9550006215383764,0.0001478650847363,False,
20260627_152620_f170Hz_x35cm,2026-06-27T15:26:32,170,35.0,2,10,32,357.205,356.997,0.705857,354.4,357.72,0.0,OK:32,data\mode_shape\raw\20260627_152620_f170Hz_x35cm.csv,,0.9867405146337758,0.0019498542837806,False,
