elapsed_s,amplitude,range,status,raw_line
0.734,257,678,OK,257.00 | 678 | OK
1.047,257.04,687,OK,257.04 | 687 | OK
1.343,256.97,676,OK,256.97 | 676 | OK
1.640,256.87,682,OK,256.87 | 682 | OK
1.937,256.9,680,OK,256.90 | 680 | OK
2.250,256.91,679,OK,256.91 | 679 | OK
2.547,256.93,685,OK,256.93 | 685 | OK
2.843,257.02,679,OK,257.02 | 679 | OK
3.140,256.93,681,OK,256.93 | 681 | OK
3.437,256.91,680,OK,256.91 | 680 | OK
3.734,257.06,677,OK,257.06 | 677 | OK
4.047,257,684,OK,257.00 | 684 | OK
4.343,257.25,679,OK,257.25 | 679 | OK
4.640,257.15,681,OK,257.15 | 681 | OK
4.953,256.98,684,OK,256.98 | 684 | OK
5.250,257.07,675,OK,257.07 | 675 | OK
